Track Name,Artist,Streams,Date,code,name
HUMBLE.,Kendrick Lamar,4068152,4/14/17,us,United States
DNA.,Kendrick Lamar,3643231,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,3526246,4/15/17,us,United States
HUMBLE.,Kendrick Lamar,3394456,4/18/17,us,United States
HUMBLE.,Kendrick Lamar,3337001,4/17/17,us,United States
HUMBLE.,Kendrick Lamar,3255141,4/19/17,us,United States
HUMBLE.,Kendrick Lamar,3172718,4/21/17,us,United States
HUMBLE.,Kendrick Lamar,3144482,4/20/17,us,United States
DNA.,Kendrick Lamar,3013496,4/15/17,us,United States
HUMBLE.,Kendrick Lamar,2880981,4/16/17,us,United States
ELEMENT.,Kendrick Lamar,2804824,4/14/17,us,United States
DNA.,Kendrick Lamar,2740138,4/17/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,2739572,4/14/17,us,United States
DNA.,Kendrick Lamar,2717408,4/18/17,us,United States
HUMBLE.,Kendrick Lamar,2622781,5/5/17,us,United States
DNA.,Kendrick Lamar,2622471,4/19/17,us,United States
YAH.,Kendrick Lamar,2578950,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,2555715,5/4/17,us,United States
Despacito (Featuring Daddy Yankee),Luis Fonsi,2537245,5/27/17,us,United States
DNA.,Kendrick Lamar,2532897,4/20/17,us,United States
HUMBLE.,Kendrick Lamar,2472069,5/12/17,us,United States
HUMBLE.,Kendrick Lamar,2466515,5/6/17,us,United States
DNA.,Kendrick Lamar,2457711,4/21/17,us,United States
HUMBLE.,Kendrick Lamar,2449060,5/9/17,us,United States
BLOOD.,Kendrick Lamar,2439181,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,2416401,5/10/17,us,United States
HUMBLE.,Kendrick Lamar,2383878,5/11/17,us,United States
HUMBLE.,Kendrick Lamar,2361044,5/8/17,us,United States
FEEL.,Kendrick Lamar,2356982,4/14/17,us,United States
DNA.,Kendrick Lamar,2329813,4/16/17,us,United States
I'm the One,DJ Khaled,2297963,5/4/17,us,United States
Despacito (Featuring Daddy Yankee),Luis Fonsi,2293547,5/28/17,us,United States
HUMBLE.,Kendrick Lamar,2292370,4/3/17,us,United States
I'm the One,DJ Khaled,2244781,5/5/17,us,United States
Passionfruit,Drake,2232097,3/24/17,us,United States
HUMBLE.,Kendrick Lamar,2228482,4/7/17,us,United States
HUMBLE.,Kendrick Lamar,2212322,5/26/17,us,United States
ELEMENT.,Kendrick Lamar,2196486,4/15/17,us,United States
PRIDE.,Kendrick Lamar,2187484,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,2169733,5/7/17,us,United States
Shape of You,Ed Sheeran,2160086,3/3/17,us,United States
XXX. FEAT. U2.,Kendrick Lamar,2158126,4/14/17,us,United States
HUMBLE.,Kendrick Lamar,2137610,5/25/17,us,United States
Despacito - Remix,Luis Fonsi,2135449,5/26/17,us,United States
HUMBLE.,Kendrick Lamar,2128701,5/24/17,us,United States
Shape of You,Ed Sheeran,2089935,3/4/17,us,United States
HUMBLE.,Kendrick Lamar,2085918,4/13/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,2071866,4/15/17,us,United States
LOVE. FEAT. ZACARI.,Kendrick Lamar,2070445,4/14/17,us,United States
Shape of You,Ed Sheeran,2069243,3/6/17,us,United States
Shape of You,Ed Sheeran,2060254,3/7/17,us,United States
HUMBLE.,Kendrick Lamar,2058158,5/27/17,us,United States
I'm the One,DJ Khaled,2049502,5/9/17,us,United States
Shape of You,Ed Sheeran,2042042,3/8/17,us,United States
I'm the One,DJ Khaled,2035116,5/12/17,us,United States
I'm the One,DJ Khaled,2027737,5/8/17,us,United States
I'm the One,DJ Khaled,2005788,5/6/17,us,United States
HUMBLE.,Kendrick Lamar,1999384,4/8/17,us,United States
LUST.,Kendrick Lamar,1996974,4/14/17,us,United States
I'm the One,DJ Khaled,1996325,5/10/17,us,United States
Shape of You,Ed Sheeran,1990545,3/9/17,us,United States
Despacito - Remix,Luis Fonsi,1984418,5/25/17,us,United States
I'm the One,DJ Khaled,1968015,5/11/17,us,United States
Passionfruit,Drake,1967738,3/25/17,us,United States
HUMBLE.,Kendrick Lamar,1965405,4/1/17,us,United States
ELEMENT.,Kendrick Lamar,1960294,4/17/17,us,United States
Shape of You,Ed Sheeran,1957676,3/10/17,us,United States
HUMBLE.,Kendrick Lamar,1925904,6/1/17,us,United States
ELEMENT.,Kendrick Lamar,1923863,4/18/17,us,United States
Despacito - Remix,Luis Fonsi,1921842,5/24/17,us,United States
Despacito - Remix,Luis Fonsi,1895067,6/1/17,us,United States
Despacito - Remix,Luis Fonsi,1887483,6/3/17,us,United States
HUMBLE.,Kendrick Lamar,1881351,6/3/17,us,United States
Passionfruit,Drake,1871363,3/27/17,us,United States
Shape of You,Ed Sheeran,1854260,3/5/17,us,United States
Despacito - Remix,Luis Fonsi,1854135,5/12/17,us,United States
Despacito - Remix,Luis Fonsi,1851564,5/5/17,us,United States
I'm the One,DJ Khaled,1848822,5/26/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1842990,4/17/17,us,United States
HUMBLE.,Kendrick Lamar,1837231,4/2/17,us,United States
YAH.,Kendrick Lamar,1832334,4/15/17,us,United States
I'm the One,DJ Khaled,1826897,5/25/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1823391,1/27/17,us,United States
HUMBLE.,Kendrick Lamar,1821404,5/28/17,us,United States
Passionfruit,Drake,1817102,3/28/17,us,United States
Bad and Boujee (feat. Lil Uzi Vert),Migos,1815692,1/28/17,us,United States
Shape of You,Ed Sheeran,1813540,3/11/17,us,United States
HUMBLE.,Kendrick Lamar,1801260,3/31/17,us,United States
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1799353,4/18/17,us,United States
HUMBLE.,Kendrick Lamar,1797247,5/29/17,us,United States
I'm the One,DJ Khaled,1793969,5/24/17,us,United States
I'm the One,DJ Khaled,1787843,5/7/17,us,United States
Despacito - Remix,Luis Fonsi,1786073,6/16/17,us,United States
Despacito - Remix,Luis Fonsi,1780396,5/9/17,us,United States
Despacito - Remix,Luis Fonsi,1779548,5/6/17,us,United States
Mask Off,Future,1772872,4/7/17,us,United States
Passionfruit,Drake,1771797,3/29/17,us,United States
